a 	a1
a.m	a2
abandon  	bỏ, từ bỏ
abandoned  	bị bỏ rơi, bị ruồng bỏ
ability	khả năng, năng lực
able	có năng lực, có tài
about	khoảng, về
above	ở trên, lên trên
abroad	ở, ra nước ngoài, ngoài trời
absence	sự vắng mặt
absent	vắng mặt, nghỉ
absolute	tuyệt đối, hoàn toàn
absolutely	tuyệt đối, hoàn toàn
absorb	thu hút, hấp thu, lôi cuốn
abuse	lộng hành, lạm dụng
academic	thuộc HV, ĐH, viện hàn lâm
accent	trọng âm, dấu trọng âm
accept	chấp nhận, chấp thuận
acceptable	có thể chấp nhận, chấp thuận
access	lối, cửa, đường vào
accident	tai nạn, rủi ro
accidental	tình cờ, bất ngờ
accommodation	sự thích nghi, điều tiết
accompany	đi theo, đi cùng, kèm theo
according-to	theo, y theo
account	tài khoản, kế toán; tính toán
accurate	đúng đắn, chính xác, xác đáng
accuse	tố cáo, buộc tội, kết tội
achieve	đạt được, dành được
achievement	thành tích, thành tựu
acid	axit
acknowledge	công nhận, thừa nhận
acquire	dành được, đạt được
across	qua, ngang qua
act	hành động, hành vi
action	hành động, tác động
active	tích cực hoạt động, nhanh nhẹn
activity	sự hoạt động, sự tích cực
actor	diễn viên nam
actress	diễn viên nữ
actual	thực tế, có thật
actually	hiện nay, hiện tại
ad	quảng cáo
adapt	tra, lắp vào
add	cộng, thêm vào
addition	tính cộng, phép cộng
additional	thêm vào, tăng thêm
address	địa chỉ, đề địa chỉ
adequate	đầy, đầy đủ
adjust	sửa lại cho đúng
admiration	sự khâm phục, thán phục
admire	khâm phục, thán phục
admit	nhận vào, kết hợp, thừa nhận
adopt	nhận làm con nuôi, bố mẹ nuôi
adult	người trưởng thành;trưởng thành
advance	sự tiến bộ, tiến lên; đưa lên
advanced	tiên tiến, tiến bộ, cấp cao
advantage	sự thuận lợi, lợi ích, lợi thế
adventure	sự phiêu lưu, mạo hiểm
advert	nói đến, kể đến
advertise	báo cho biết
advertisement	quảng cáo
advertising	sự quảng cáo, nghề quảng cáo
advice	lời khuyên, lời chỉ bảo
advise	khuyên, khuyên bảo, răn bảo
affair	việc
affect	làm ảnh hưởng, tác động đến
affection	sự làm ảnh hưởng
afford	có thể, có đủ khả năng, điều kiện (làm gì)
afraid	sợ, sợ hãi, hoảng sợ
after	sau, đằng sau, sau khi
afternoon	buổi chiều
afterwards	sau này, về sau, rồi thì, sau đấy
again	lại, nữa, lần nữa
against	chống lại, phản đối
age	tuổi
aged	già đi (v)
agency	tác dụng, lực; môi giới, trung gian
agent	đại lý, tác nhân
aggressive	xâm lược, hung hăng 
ago	trước đây
agree	đồng ý, tán thành
agreement	sự đồng ý, tán thành; hiệp định, hợp đồng
ahead	trước, về phía trước
aid	sự giúp đỡ; thêm vào, phụ vào
aim	mục tiêu, ý định; nhắm, tập trung, hướng vào
air	không khí, bầu không khí, không gian
aircraft	máy bay, khí cầu
airport	sân bay, phi trường
alarm	báo động, báo nguy
alarmed	lo lắng, sợ hãi
alarming	làm lo sợ, làm hốt hoảng, làm sợ hãi
alcohol	rượu cồn
alcoholic	rượu; người nghiện rượu
alive	sống, vẫn còn sống, còn tồn tại
all	tất cả
all-right	tốt, ổn, khỏe mạnh; được
allied	lien minh, đồng minh, thông gia
allow	cho phép, để cho
ally	nước đồng minh, liên minh; liên kết
almost	hầu như, gần như
alone	cô đơn, một mình
along	dọc theo; theo chiều dài, suốt theo
alongside	sát cạnh, kế bên, dọc theo
aloud	lớn tiếng, to tiếng
alphabet	bảng chữ cái, bước đầu, điều cơ bản
alphabetical	theo thứ tự abc
already	đã, rồi, đã… rồi
also	cũng, cũng vậy, cũng thế
alter	thay đổi, biến đổi, sửa đổi
alternative	sự lựa chọn; lựa chọn
alternatively	như một sự lựa chọn
although	mặc dù, dẫu cho
altogether	hoàn toàn, hầu như; nói chung
always	luôn luôn
amaze	làm ngạc nhiên, làm sửng sốt
amazed	kinh ngạc, sửng sốt
amazing	kinh ngạc, sửng sốt
ambition	hoài bão, khát vọng
ambulance	xe cứu thương, xe cấp cứu
among	giữa, ở giữa
amount	số lượng, số nhiều; lên tới (money)
amuse	làm cho vui, thích, làm buồn cười
amused	vui thích
amusing	vui thích
analyse	phân tích
analysis	sự phân tích
ancient	xưa, cổ
and	và
anger	sự tức giận, sự giận dữ
angle	góc
angry	giận, tức giận
animal	động vật, thú vật
ankle	mắt cá chân
anniversary	ngày, lễ kỉ niệm
announce	báo, thông báo
annoy	chọc tức, làm phiền, quẫy nhiễu
annoyed	bị khó chịu, bực mình, bị quấy rầy
annoying	chọc tức, làm phiền, quẫy nhiễu
annual	hàng năm, từng năm
annually	hàng năm, từng năm
another	khác
answer	sự trả lời; trả lời
anti-	(tiền tố) chống lại
anticipate	thấy trước, chặn trước, lường trước
anxiety	mối lo âu, sự lo lắng
anxious	lo âu, lo lắng, băn khoăn
any	một người, vật nào đó; bất cứ; một chút nào, tí nào
anybody	người nào đó
anyone	người nào, bất cứ ai
anything	việc gì, vật gì; bất cứ việc gì, vật gì
anyway	thế nào cũng được, dù sao chăng nữa
anywhere	bất cứ chỗ nào, bất cứ nơi đâu
apart	về một bên, qua một bên
apart-from	ngoài…ra
apartment	căn phòng, căn buồng
apologize	xin lỗi, tạ lỗi
apparent	rõ ràng, rành mạch; bề ngoài, có vẻ
apparently	nhìn bên ngoài, hình như
appeal	sự kêu gọi, lời kêu gọi; kêu gọi, cầu khẩn
appear	xuất hiện, hiện ra, trình diện
appearance	sự xuất hiện, sự trình diện
apple	quả táo
application	sự gắn vào, vật gắn vào; sự chuyên cần
apply	gắn vào, ghép vào, áp dụng vào
appoint	bổ nhiệm, chỉ định, chọn
appointment	sự bổ nhiệm, người được bổ nhiệm
appreciate	thấy rõ; nhận thức
approach	đến gần, lại gần; sự đến gần, sự lại gần
appropriate	thích hợp, thích đáng
approval	sự tán thành, đồng ý, sự chấp thuận
approve	tán thành, đồng ý, chấp thuận
approving	tán thành, đồng ý, chấp thuận
approximate	giống với, giống hệt với
approximately	khoảng chừng, độ chừng
april	tháng Tư
area	diện tích, bề mặt
argue	chứng tỏ, chỉ rõ
argument	lý lẽ
arise	xuất hiện, nảy ra, nảy sinh ra
arm	cánh tay; vũ trang, trang bị (vũ khí)
armed	vũ trang
arms	vũ khí, binh giới, binh khí
army	quân đội
around	xung quanh, vòng quanh
arrange	sắp xếp, sắp đặt, sửa soạn
arrangement	sự sắp xếp, sắp đặt, sự sửa soạn
arrest	bắt giữ, sự bắt giữ
arrival	sự đến, sự tới nơi
arrive	đến, tới nơi
arrow	tên, mũi tên
art	nghệ thuật, mỹ thuật
article	bài báo, đề mục
artist	nghệ sĩ
artiste	nghệ sĩ sân khấu
artistic	thuộc nghệ thuật, thuộc mỹ thuật
as	như (as you know…)
ashamed	ngượng, xấu hổ
aside	về một bên, sang một bên
aside-from	ngoài ra, trừ ra
ask	hỏi
asleep	ngủ, đang ngủ
aspect	vẻ bề ngoài, diện mạo
assist	giúp, giúp đỡ; tham dự, có mặt
assistance	sự giúp đỡ
assistant	người giúp đỡ; giúp đỡ, phụ tá
associate	liên kết, kết hợp, cho cộng tác
associated	(with) liên kết với
association	sự kết hợp, sự liên kết
